model,dev_fold,test_fold,epoch,dev_r2,test_r2,dev_rmse,test_rmse,dev_mae,test_mae,tr_loss,dev_loss,test_loss
squeeze,7,3,31,-0.440745,-0.196508,4.02439,3.842489,3.345097,3.283259,14.704085,16.195713,14.764719
squeeze,7,4,24,-0.650415,-0.060732,4.247937,4.235702,3.422889,3.346075,15.293413,18.04497,17.941175
squeeze,7,5,29,-0.351743,0.110198,3.772827,4.150259,3.07548,3.137795,15.508171,14.234223,17.224649
squeeze,7,6,14,-0.499089,0.10637,4.120152,4.412241,3.391303,2.930398,17.169657,16.975651,19.467867
squeeze,7,8,20,-0.554602,0.076884,4.116478,3.728864,3.248688,3.565947,17.311843,16.945392,13.904429
squeeze,7,9,30,-0.380208,-1.077545,3.956689,6.168066,3.168138,5.122283,13.557071,15.655392,38.045036
squeeze,8,0,22,0.261379,-0.551229,3.261574,6.164828,2.925665,4.430928,14.307515,10.637867,38.005106
squeeze,8,1,31,0.149597,-0.086796,3.538828,3.611162,3.291337,3.244148,17.404466,12.523304,13.040491
squeeze,8,2,21,0.217619,0.160382,3.322227,3.971623,3.117928,3.066082,17.844122,11.037195,15.773789
squeeze,8,3,12,0.188192,-0.010053,3.393282,3.623629,3.151695,3.107725,18.527766,11.51436,13.130686
squeeze,8,4,22,0.151725,0.012439,3.54493,4.075552,3.329677,3.356791,17.374091,12.566526,16.610123
squeeze,8,5,18,0.174486,0.033529,3.414701,4.416657,3.249187,3.616128,17.11248,11.660184,19.50686
squeeze,8,6,26,0.196314,-0.096416,3.346376,3.815771,3.08961,2.720247,17.092958,11.198232,14.560107
squeeze,8,7,16,0.150272,-0.848114,3.470192,4.473433,3.270449,3.55414,16.965268,12.042233,20.011608
squeeze,8,9,24,0.193325,-0.887061,3.452952,5.771214,3.256858,4.541579,15.457036,11.922879,33.306904
squeeze,9,0,8,-0.438258,-0.239609,4.949277,5.055387,4.003304,3.210263,13.874784,24.495337,25.556944
squeeze,9,1,0,-0.261348,-1.783828,5.021541,6.178922,3.959248,5.748021,77.927451,25.215871,38.179081
squeeze,9,2,16,-0.436792,0.031008,5.249363,4.26202,4.170334,3.395185,15.240903,27.555812,18.164818
squeeze,9,3,2,-0.51802,0.070837,5.119781,3.581928,3.92597,3.097483,19.206713,26.212155,12.830208
squeeze,9,4,1,-0.127774,-0.603035,4.388621,5.227481,3.272323,4.492941,27.729594,19.259991,27.326558
squeeze,9,5,6,-0.422823,0.081901,4.884927,4.062544,4.0173,3.633213,16.162709,23.86251,16.504261
squeeze,9,6,16,-0.493773,0.132028,5.375288,4.332032,4.363264,3.185723,14.669624,28.893718,18.7665
squeeze,9,7,23,-0.280526,-1.365053,4.825927,5.257304,3.834548,4.557505,14.887224,23.289569,27.639247
squeeze,9,8,1,-0.402278,0.006166,5.101939,3.761197,4.015978,3.508326,24.998449,26.029785,14.146599
